code,year,sectordeflator_VA_P,sectordeflator_GO_P,sectordeflator_II_P,IP_GFCF_market,deflator,_fillin
24-25,1976,.21599,.2737357,.3027923,,.27463,0
24-25,1977,.23386,.29276954,.32254334,,.29875,0
24-25,1978,.25826,.31422128,.34282765,.3951031196971334,.32648,0
24-25,1979,.30652,.36069319,.38895608,.4358744505676199,.36017,0
24-25,1980,.36679,.41961739,.44792122,.4960620120947767,.40227,0
24-25,1981,.4160199999999999,.45939355,.48366611,.5597495450163303,.44932,0
24-25,1982,.50043,.5385983600000001,.56100334,.6326733277225651,.50367,0
24-25,1983,.57343,.59659235,.6118578099999999,.6865399134403484,.5523,0
24-25,1984,.6500900000000001,.65911242,.66785434,.7293136586108311,.59137,0
24-25,1985,.7146899999999999,.7001602200000001,.69784458,.7617239994968514,.62363,0
24-25,1986,.70985,.67061561,.65667007,.7895297251851026,.65524,0
24-25,1987,.7114400000000001,.66089683,.64188744,.8088940468781413,.67156,0
24-25,1988,.7696,.70177296,.6755761800000001,.8283280733226913,.69313,0
24-25,1989,.84454,.75792826,.7240266900000001,.8498207447508541,.71599,0
24-25,1990,.9057599999999999,.74031636,.6735022399999999,.8586975808085746,.73511,0
24-25,1991,.9056799999999999,.7204081800000001,.6452784499999999,.8821211351241308,.754,0
24-25,1992,.9046500000000001,.70759829,.62728474,.8771932681420896,.769,0
24-25,1993,.89997,.6986283600000001,.61639391,.8696007063531881,.78161,0
24-25,1994,.92364,.72767044,.64767977,.8679314860560655,.78893,0
24-25,1995,.97295,.7716745699999999,.68949391,.8673846057345996,.79798,0
24-25,1996,.9562,.76861885,.69212727,.8731732364327884,.80889,0
24-25,1997,.9732999999999999,.7795936600000001,.7006594800000001,.8694265941298686,.81602,0
24-25,1998,.96691,.77508595,.69689633,.8661622825628201,.82379,0
24-25,1999,.95298,.76038277,.6819553500000001,.8673886454625638,.8256,0
24-25,2000,1.00004,.8070460300000001,.72830063,.8940202939151136,.83834,0
24-25,2001,.9769100000000001,.80381176,.73286188,.9037644157871479,.85512,0
24-25,2002,.95294,.79223776,.72621631,.910662003840373,.87283,0
24-25,2003,.92769,.7929596499999999,.7373186300000001,.9082883909713766,.88918,0
24-25,2004,.9556699999999999,.84173784,.79435382,.9174186755616884,.90381,0
24-25,2005,1.01994,.87971623,.8221913999999999,.9359927419758036,.92134,0
24-25,2006,1.01763,.93776139,.90195759,.9617287901985674,.94126,0
24-25,2007,1.08037,.9810578200000001,.93790184,.9772530754463074,.96539,0
24-25,2008,1.10283,1.02258061,.98633962,.9907554992518763,.98836,0
24-25,2009,.9914000000000001,.95968473,.94582523,.9949341121793988,.98931,0
24-25,2010,1,1,1,1,1,0
24-25,2011,1.04942,1.0556735,1.05838556,1.017739101505978,1.00943,0
24-25,2012,1.02103,1.03746146,1.04468267,1.028603410557745,1.02112,0
24-25,2013,.97747,1.01077889,1.02613833,1.032626183369822,1.02905,0
24-25,2014,.97246,.9960393999999999,1.00683926,1.031410048928839,1.03498,0
24-25,2015,.98497,.99040914,.99265772,1.030898669860722,1.04687,0
24-25,2016,.99011659519252,.9955841554000142,.9978444845203102,1.036285248272532,1.052340030670166,1
24-25,2017,.995281927594962,1.000778011479404,1.00305013249502,1.041691437601208,1.057829976081848,1
24-25,2018,1.004756470491874,1.010304874107123,1.01259862447964,1.051607773804305,1.067899942398071,1
24-25,2019,1.018010601500255,1.023632196252425,1.025956204372795,1.065479938465869,1.081987023353577,1
26-27,1952,,,,,,1
26-27,1953,,,,,,1
26-27,1954,,,,,,1
26-27,1955,,,,,,1
26-27,1956,,,,,,1
26-27,1957,,,,,,1
26-27,1958,,,,,,1
26-27,1959,,,,,,1
26-27,1960,,,,,,1
26-27,1961,,,,,,1
26-27,1962,,,,,,1
26-27,1963,,,,,,1
26-27,1964,,,,,,1
26-27,1965,,,,,,1
26-27,1966,,,,,,1
26-27,1967,,,,,,1
26-27,1968,,,,,,1
26-27,1969,,,,,,1
26-27,1970,,,,,.15977,0
26-27,1971,,,,,.1692,0
26-27,1972,,,,,.18071,0
26-27,1973,,,,,.19492,0
26-27,1974,,,,,.21796,0
26-27,1975,1.127659792413765,.9955899882685449,.9178367754051201,,.24795,0
26-27,1976,1.24899862387817,1.10271779987171,1.01659815942532,,.27463,0
26-27,1977,1.32866891250464,1.17669655579406,1.087001656946,,.29875,0
26-27,1978,1.40552562258562,1.2492153054595,1.15681257742689,.3951031196971334,.32648,0
26-27,1979,1.4662342784062,1.29001971962931,1.18624208415533,.4358744505676199,.36017,0
26-27,1980,1.53130915682871,1.34497692856324,1.23539148105049,.4960620120947767,.40227,0
26-27,1981,1.67463178308881,1.44323830978386,1.30990994682019,.5597495450163303,.44932,0
26-27,1982,1.8437720022976,1.55911741147637,1.39745694742022,.6326733277225651,.50367,0
26-27,1983,1.98014307913964,1.636083882315,1.44322028433433,.6865399134403484,.5523,0
26-27,1984,2.08968565843523,1.71638836610273,1.50755939823204,.7293136586108311,.59137,0
26-27,1985,2.18128415473543,1.75456628443775,1.51833011778509,.7617239994968514,.62363,0
26-27,1986,2.31317496794797,1.75596123411267,1.45742210415535,.7895297251851026,.65524,0
26-27,1987,2.30845878073419,1.72161775385178,1.40993151779047,.8088940468781413,.67156,0
26-27,1988,2.31534559031715,1.72375713242365,1.40956375608951,.8283280733226913,.69313,0
26-27,1989,2.29928316594489,1.73303562297785,1.43053840543809,.8498207447508541,.71599,0
26-27,1990,2.29886380542403,1.69422310282993,1.37490095639745,.8586975808085746,.73511,0
26-27,1991,2.25928686312721,1.63430881699372,1.30788538036912,.8821211351241308,.754,0
26-27,1992,2.24339246792501,1.59523877746113,1.2596757925054,.8771932681420896,.769,0
26-27,1993,2.17548545468166,1.52487592741709,1.19068224554181,.8696007063531881,.78161,0
26-27,1994,2.08581644888433,1.48322139966634,1.17091796027934,.8679314860560655,.78893,0
26-27,1995,2.02682268262926,1.47516693498442,1.18369028611198,.8673846057345996,.79798,0
26-27,1996,1.97661774112962,1.46052660379193,1.18426900636891,.8731732364327884,.80889,0
26-27,1997,1.8804800383974,1.40935409183792,1.15334321708179,.8694265941298686,.81602,0
26-27,1998,1.80834031962525,1.35229885961179,1.10558490266311,.8661622825628201,.82379,0
26-27,1999,1.72843169530715,1.28535863062097,1.0477685187592,.8673886454625638,.8256,0
26-27,2000,1.6999243752764,1.27240310543399,1.04101808933322,.8940202939151136,.83834,0
26-27,2001,1.67861748773481,1.2294013643019,.9939047217677061,.9037644157871479,.85512,0
26-27,2002,1.61952755776929,1.16766476885275,.9347763131586061,.910662003840373,.87283,0
26-27,2003,1.50601907008945,1.12158023792808,.9181262651951001,.9082883909713766,.88918,0
26-27,2004,1.39262530310878,1.09006843620254,.924842430918507,.9174186755616884,.90381,0
26-27,2005,1.28565776088466,1.07395590694879,.9538873114291261,.9359927419758036,.92134,0
26-27,2006,1.15974066832759,1.06783127130305,1.01290054577388,.9617287901985674,.94126,0
26-27,2007,1.16792967768617,1.068191630149,1.00916609754576,.9772530754463074,.96539,0
26-27,2008,1.10579840468795,1.04970877268201,1.01505377461014,.9907554992518763,.98836,0
26-27,2009,1.10331423887264,1.03107273183504,.987529440558241,.9949341121793988,.98931,0
26-27,2010,1,1,1,1,1,0
26-27,2011,.962743258940001,.996412186855189,1.01763932890035,1.017739101505978,1.00943,0
26-27,2012,.945523987875027,.9884206312231371,1.01593314508827,1.028603410557745,1.02112,0
26-27,2013,.905586385634038,.96318443325109,1.00177472535211,1.032626183369822,1.02905,0
26-27,2014,.879686992985684,.9432901061952499,.98627155488203,1.031410048928839,1.03498,0
26-27,2015,.9132765767186229,.9425607347830121,.961245023397455,1.030898669860722,1.04687,0
26-27,2016,.9180485645346795,.947485736099085,.9662676525295617,1.036285248272532,1.052340030670166,1
26-27,2017,.922837925727524,.9524286678682193,.9713085675483348,1.041691437601208,1.057829976081848,1
26-27,2018,.9316228411085667,.961495271028363,.9805548970899681,1.051607773804305,1.067899942398071,1
26-27,2019,.9439122381406739,.9741787268312506,.993489775788065,1.065479938465869,1.081987023353577,1
28,1952,,,,,,1
28,1953,,,,,,1
28,1954,,,,,,1
28,1955,,,,,,1
28,1956,,,,,,1
28,1957,,,,,,1
28,1958,,,,,,1
28,1959,,,,,,1
28,1960,,,,,,1
28,1961,,,,,,1
28,1962,,,,,,1
28,1963,,,,,,1
28,1964,,,,,,1
28,1965,,,,,,1
28,1966,,,,,,1
28,1967,,,,,,1
28,1968,,,,,,1
28,1969,,,,,,1
28,1970,,,,,.15977,0
28,1971,,,,,.1692,0
28,1972,,,,,.18071,0
28,1973,,,,,.19492,0
28,1974,,,,,.21796,0
28,1975,.5247641499472018,.5064639357972546,.4934439560718057,,.24795,0
28,1976,.58123,.56096064,.54653968,,.27463,0
28,1977,.6182099999999999,.59534027,.57946365,,.29875,0
28,1978,.6662300000000001,.64943383,.63574706,.3951031196971334,.32648,0
28,1979,.7217600000000001,.68857929,.6674997899999999,.4358744505676199,.36017,0
28,1980,.78094,.74523273,.72252967,.4960620120947767,.40227,0
28,1981,.8469599999999999,.80739571,.7824585399999999,.5597495450163303,.44932,0
28,1982,.91291,.8810010699999999,.85807188,.6326733277225651,.50367,0
28,1983,.9666800000000001,.92214073,.89395757,.6865399134403484,.5523,0
28,1984,.99942,.9587707600000001,.93163243,.7293136586108311,.59137,0
28,1985,1.03111,.9847737,.9551054600000001,.7617239994968514,.62363,0
28,1986,1.10427,1.00155054,.9496401899999999,.7895297251851026,.65524,0
28,1987,1.13125,1.00666622,.9461884,.8088940468781413,.67156,0
28,1988,1.12667,1.01263172,.9562708600000001,.8283280733226913,.69313,0
28,1989,1.1295,1.02723609,.97533487,.8498207447508541,.71599,0
28,1990,1.17903,1.04702759,.9831964399999999,.8586975808085746,.73511,0
28,1991,1.22657,1.05954446,.98244522,.8821211351241308,.754,0
28,1992,1.24846,1.05335075,.96589493,.8771932681420896,.769,0
28,1993,1.20888,1.0096675,.92146119,.8696007063531881,.78161,0
28,1994,1.15104,.98105932,.90411726,.8679314860560655,.78893,0
28,1995,1.12998,.98949522,.92364744,.8673846057345996,.79798,0
28,1996,1.13466,.99404784,.9281183900000001,.8731732364327884,.80889,0
28,1997,1.13251,.9926570100000001,.92704273,.8694265941298686,.81602,0
28,1998,1.12011,.98858515,.92645983,.8661622825628201,.82379,0
28,1999,1.12692,.9896673199999999,.9250760699999999,.8673886454625638,.8256,0
28,2000,1.07951,.9860870799999999,.94091848,.8940202939151136,.83834,0
28,2001,1.04892,.98143628,.94816609,.9037644157871479,.85512,0
28,2002,1.0154,.96033463,.9328596,.910662003840373,.87283,0
28,2003,.9920699999999999,.95331391,.9335603,.9082883909713766,.88918,0
28,2004,.94407,.94596822,.94634162,.9174186755616884,.90381,0
28,2005,.93877,.9549796700000001,.9623061900000001,.9359927419758036,.92134,0
28,2006,.91732,.97036954,.99580645,.9617287901985674,.94126,0
28,2007,.9404300000000001,.9709473599999999,.9854199199999999,.9772530754463074,.96539,0
28,2008,.95462,.9897443500000001,1.0064231,.9907554992518763,.98836,0
28,2009,1.01339,.99788027,.99002881,.9949341121793988,.98931,0
28,2010,1,1,1,1,1,0
28,2011,.98895,1.01450255,1.02753583,1.017739101505978,1.00943,0
28,2012,1.02007,1.02783415,1.03204712,1.028603410557745,1.02112,0
28,2013,.9906699999999999,1.0144222,1.02665243,1.032626183369822,1.02905,0
28,2014,1.00924,1.01706878,1.02126318,1.031410048928839,1.03498,0
28,2015,1.02821,1.01572965,1.00954131,1.030898669860722,1.04687,0
28,2016,1.033582529765273,1.021036968328061,1.01481629345401,1.036285248272532,1.052340030670166,1
28,2017,1.038974619300503,1.026363609010788,1.020110481541106,1.041691437601208,1.057829976081848,1
28,2018,1.048865092870291,1.036134032618198,1.029821378774321,1.051607773804305,1.067899942398071,1
28,2019,1.062701077767422,1.049802077178131,1.043406150677133,1.065479938465869,1.081987023353577,1
29-30,1952,,,,,,1
29-30,1953,,,,,,1
29-30,1954,,,,,,1
29-30,1955,,,,,,1
29-30,1956,,,,,,1
29-30,1957,,,,,,1
29-30,1958,,,,,,1
29-30,1959,,,,,,1
29-30,1960,,,,,,1
29-30,1961,,,,,,1
29-30,1962,,,,,,1
29-30,1963,,,,,,1
29-30,1964,,,,,,1
29-30,1965,,,,,,1
29-30,1966,,,,,,1
29-30,1967,,,,,,1
29-30,1968,,,,,,1
29-30,1969,,,,,,1
29-30,1970,,,,,.15977,0
29-30,1971,,,,,.1692,0
29-30,1972,,,,,.18071,0
29-30,1973,,,,,.19492,0
29-30,1974,,,,,.21796,0
29-30,1975,.2991868004223865,.3063140334741288,.3072053190601901,,.24795,0
29-30,1976,.33138,.33927414,.34026133,,.27463,0
29-30,1977,.3581,.36784532,.36940304,,.29875,0
29-30,1978,.3815999999999999,.39374439,.39616623,.3951031196971334,.32648,0
29-30,1979,.42381,.4310314,.4313471,.4358744505676199,.36017,0
29-30,1980,.45797,.47063535,.47272752,.4960620120947767,.40227,0
29-30,1981,.49196,.51325631,.51832628,.5597495450163303,.44932,0
29-30,1982,.52697,.5614546500000001,.57101202,.6326733277225651,.50367,0
29-30,1983,.57521,.60312077,.61001314,.6865399134403484,.5523,0
29-30,1984,.62181,.6512648299999999,.6584757299999999,.7293136586108311,.59137,0
